,price,currency,ad_situation,rooms,bath,building_space,measuring_unit,price/m2,brokered_by,direction,city,state,postal_code,índice_poder_adqui,índice_seguridad,índice_sanidad,índice_clima,índice_costo_vida,relación_precio_ingresos_propiedades,índice_costo_desplazamiento,índice_contaminación,índice_calidad_vida,latidud_,longitud_
24,234000,USD,New,2,1,69.0,m2,3391.0,"VAN DORM REALTY, INC","11337 Scott Creek Dr SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
25,309000,USD,New,3,2,113.0,m2,2735.0,Windermere Professional Partners,"1725 Mapleridge Ct NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
26,299000,USD,New,3,2,106.0,m2,2821.0,RE/MAX Key Land Co.,"8825 Quinault Dr NE, Olympia",Olympia,Washington,98516,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.1342656625,-122.73493423336308
27,280000,USD,New,2,1,95.0,m2,2947.0,"VAN DORM REALTY, INC","1413 7th Ave SW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
28,379900,USD,New,3,3,206.0,m2,1844.0,"RE/MAX Northwest Realtors - Olympia, WA","4230 14th Ave NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
29,300000,USD,New,3,2,113.0,m2,2655.0,Keller Williams Eastside,"7637 Greenridge SW, Olympia",Olympia,Washington,98512,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.011384209882415,-122.92603345709834
30,379900,USD,New,4,2,216.0,m2,1759.0,"VAN DORM REALTY, INC","6332 Tralee Dr NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
31,419500,USD,New,4,2,213.0,m2,1969.0,Windermere Real Estate Olympia,"1717 15th Ave SW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
32,599900,USD,New,3,2,318.0,m2,1886.0,Greene Realty Group LLC,"3517 Frog Leap Ln NE, Olympia",Olympia,Washington,98506,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,48.59161633333334,19.742317233735022
33,429950,USD,New,4,2,271.0,m2,1587.0,Windermere Professional Partners,"2124 Division St NW, Olympia",Olympia,Washington,98502,108.43,70.61,71.99,83.44,70.23,3.37,19.11,16.01,204.67,47.112396687324136,-122.93196611112717
