,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State,Índice_poder_adqui,Índice_seguridad,Índice_sanidad,Índice_clima,Índice_costo_vida,Relación_precio_ingresos_propiedades,Índice_costo_desplazamiento,Índice_contaminación,Índice_calidad_vida
26,299000,USD,RE/MAX Key Land Co.,New,3,2.0,1146,sqft,"8825 Quinault Dr NE, Olympia, WA 98516",Olympia, WA 98516,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
27,280000,USD,"VAN DORM REALTY, INC",New,2,1.0,1020,sqft,"1413 7th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
28,379900,USD,"RE/MAX Northwest Realtors - Olympia, WA",New,3,3.0,2222,sqft,"4230 14th Ave NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
29,300000,USD,Keller Williams Eastside,New,3,2.0,1220,sqft,"7637 Greenridge SW, Olympia, WA 98512",Olympia, WA 98512,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
30,379900,USD,"VAN DORM REALTY, INC",New,4,2.5,2320,sqft,"6332 Tralee Dr NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
31,419500,USD,Windermere Real Estate Olympia,New,4,2.5,2298,sqft,"1717 15th Ave SW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
32,599900,USD,Greene Realty Group LLC,New,3,2.5,3418,sqft,"3517 Frog Leap Ln NE, Olympia, WA 98506",Olympia, WA 98506,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
33,429950,USD,Windermere Professional Partners,New,4,2.0,2912,sqft,"2124 Division St NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
34,350000,USD,"VAN DORM REALTY, INC",New,3,2.5,1668,sqft,"2937 Langridge Loop NW, Olympia, WA 98502",Olympia, WA 98502,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
35,335000,USD,Riley Jackson Real Estate Inc.,New,3,2.0,1678,sqft,"8241 Sweetbrier SE, Olympia, WA 98513",Olympia, WA 98513,"110,78","70,61","71,99","83,44","70,06","3,37","19,11","16,01","205,63"
